Company Name,ISIN,ISIC full_code,ISIC section_label,ISIC division_label,ISIC group_label,ISIC description,Region/Country,Report Date,Fiscal Year,Quarter,Month,OS-C Code,Factor Area Code,Factor Code,Sub-Factor Code,Report Label,Quantity,Quantity Type,Reported Units,Standardized Quantity,Standardized units,Orig Report,Page,Note,Analyst,Factor Area,Factor,Sub Factor,SASB Industry Code,SASB Sub-Metric Code,SASB units,CDP Code,OS-C - CDP synthetic code,Description
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,EF.7.2,EF,7,2,System Average Interruption Duration Index (SAIDI) (Minutes),215,,Minutes,215,Minutes,Final ESG Data Center.xlsx,,,Baltzell,Energy/Fuel,Grid Resiliency,System Average Interruption Duration Index (SAIDI),IF-EU,IF-EU-550a.2a,"Minutes, Number",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,EF.7.3,EF,7,3,System Average Interruption Frequency Index (SAIFI) - Number of interruptions,1.389,,Minutes,1.389,Minutes,Final ESG Data Center.xlsx,,,Baltzell,Energy/Fuel,Grid Resiliency,System Average Interruption Frequency Index (SAIFI),IF-EU,IF-EU-550a.2b,"Minutes, Number",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,EF.7.4,EF,7,4,Customer Average Interruption Duration index (CAIDI) (Minutes),154.8,,Minutes,154.8,Minutes,Final ESG Data Center.xlsx,,,Baltzell,Energy/Fuel,Grid Resiliency,"Customer Average Interruption Duration Index (CAIDI), inclusive of major event days",IF-EU,IF-EU-550a.2c,"Minutes, Number",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,Em.1.1,Em,1,1,Total Scope 1 emissions CO2e (Mg),78760420,,Mg," 78,760,420 ",mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 1 Emissions Total,,IF-EU,IF-EU-110a.1a,"Mg (t) CO_-e, Percentage (%)",C6.1,C6.1.1,(C6.1) What were your organization’s gross global Scope 1 emissions in Mg CO2e?
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,Em.13.1,Em,13,1,Scope 1 and 2 intensity (Mg CO2e/total revenue $) ,0.005956,,mtCO2e/$,0.005956,mtCO2e/$,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Carbon Intensity,unit total revenue,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.1,(C6.10) Describe your gross global combined Scope 1 and 2 emissions for the reporting year in Mg CO2e per unit currency total revenue and provide any additional intensity metrics that are appropriate to your business operations.
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,Em.13.8,Em,13,8,Scope 1 and 2 intensity (Mg CO2e/MWh generated) ,0.8029,,mtCO2e/MWh generated,0.8029,mtCO2e/MWh generated,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Carbon Intensity,megawatt hour generated (MWh),IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.8,(C6.10) Describe your gross global combined Scope 1 and 2 emissions for the reporting year in Mg CO2e per unit currency total revenue and provide any additional intensity metrics that are appropriate to your business operations.
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,Em.17.10,Em,17,10,NOx (MT),47618,,"Mg (t), Percentage (%)"," 47,618 ",Mg,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Air Emissions other than GHG,NO,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,Em.17.13,Em,17,13,SO2 (MT),68652,,"Mg (t), Percentage (%)"," 68,652 ",Mg,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Air Emissions other than GHG,SO,IF-EU,IF-EU-120a.1b,"Mg (t), Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,Em.17.8,Em,17,8,Mercury (kg) ,195.9,,kg,195.9,kg,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Air Emissions other than GHG,mercury (Hg),IF-EU,IF-EU-120a.1e,"Mg (t), Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,Em.4.12,Em,4,12,SF6 (MT CO2e),189810,,mtCO2e,189810,mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 1 emissions by source,Sulfur hexafluoride (SF6),IF-EU,,,,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,Em.4.7,Em,4,7,CO2 (MT),78001430,,Mg,78001430,mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 1 emissions by source,Carbon dioxide (CO2) (million tonnes),IF-EU,,,,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,Em.4.8,Em,4,8,CH4 (MT CO2e),239428,,mtCO2e,239428,mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 1 emissions by source,Methane (CH4) (Gg),IF-EU,,,,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,Em.4.9,Em,4,9,N2O (MT CO2e),329753,,mtCO2e,329753,mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 1 emissions by source,Nitrous oxide (N2O) (Gg),IF-EU,,,,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,Em.7.1,Em,7,1,Location Based,12957602,,Mg," 12,957,602 ",mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 2 Emissions Total,Scope 2 - Location-Based,IF-EU,,,C6.3,C6.3.1,"Scope 2, location-based"
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,Em.7.2,Em,7,2,Market Based,8271179,,Mg," 8,271,179 ",mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 2 Emissions Total,Scope 2 - Market-Based1,IF-EU,,,C6.3,C6.3.2,"Scope 2, market-based"
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,WR.1.1,WR,1,1,Total Water Consumption (m3/year),167428676.4,,m_/year," 167,429 ",dam3,Final ESG Data Center.xlsx,,,Baltzell,"Water Risk, Adaptation, and Resilience",Water Consumption,Total water consumed,IF-EU,IF-EU-140a.1b,"Thousand cubic meters (m_), Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY17,,,WR.2.1,WR,2,1,Total Water Withdrawal (m3/year),6790322968,,m_/year," 6,790,323 ",dam3,Final ESG Data Center.xlsx,,,Baltzell,"Water Risk, Adaptation, and Resilience",Water Withdrawal,Total water withdrawn,IF-EU,IF-EU-140a.1a,"Thousand cubic meters (m_), Percentage (%)",,,
